runId,algorithm,framework,nNodes,topology,lossRate,failureRate,load,seed,decisionSuccess,decisionLatencySlots,decisionLatencyMs,totalMessages,successfulMessages,failedMessages,failedCollision,failedDrop,failedSilent,failedFaulty,failedNotListening,p95Latency,p99Latency,throughput
f5dac26a-385d-4a2c-b687-e1b0b75ec2dd,WIRELESS_PAXOS,CHAOS,4,sample,0.0,0.0,12,42,1.0,10.583333333333334,10.583333333333334,636,249,387,147,0,0,0,240,11.0,11.0,0.06976744186046512
1695df7e-7f15-4971-b664-88f672304e9d,WIRELESS_MULTIPAXOS,CHAOS,4,sample,0.0,0.0,12,42,0.0,0.0,0.0,20,12,8,8,0,0,0,0,,,
c18cb2cc-fc3f-4d11-bfd1-64f5dcc8455b,CHAOS_2PC,CHAOS,4,sample,0.0,0.0,12,42,1.0,13.166666666666666,13.166666666666666,714,315,399,159,0,0,0,240,15.0,15.0,0.059113300492610835
7536a66e-ba47-407b-912f-c51cde3e3ea8,CHAOS_3PC,CHAOS,4,sample,0.0,0.0,12,42,1.0,19.75,19.75,966,471,495,255,0,0,0,240,23.0,23.0,0.0425531914893617
a27f0e75-9cb7-4e5e-8d6d-ea933307df50,BLUEFLOOD_PAXOS,BLUEFLOOD,4,sample,0.0,0.0,12,42,0.8333333333333334,10.5,10.5,96,48,48,0,0,0,0,48,11.0,11.0,0.17543859649122806
7ee9939d-9dfa-428f-afc2-4e16aab9b2c0,BLUEFLOOD_2PC,BLUEFLOOD,4,sample,0.0,0.0,12,42,0.75,16.0,16.0,96,48,48,0,0,0,0,48,16.0,16.0,0.15789473684210525
6a15975d-8334-405c-89e8-bfc44d7b003a,BLUEFLOOD_3PC,BLUEFLOOD,4,sample,0.0,0.0,12,42,0.08333333333333333,36.0,36.0,96,48,48,0,0,0,0,48,36.0,36.0,0.017543859649122806
2eb17ac5-5fa4-4a56-90bd-f1c03376d9e3,BLUEFLOOD_TOM,BLUEFLOOD,4,sample,0.0,0.0,12,42,1.0,1.0,1.0,96,48,48,0,0,0,0,48,1.0,1.0,0.21052631578947367
cf0ee30f-9c95-438d-942f-169f2e2b3f10,WIRELESS_MULTIPAXOS,CHAOS,4,sample,0.0,0.0,12,42,0.0,0.0,0.0,20,12,8,8,0,0,0,0,,,
77e821b4-c181-460e-b6ad-715e8fdeea5e,WIRELESS_MULTIPAXOS,CHAOS,4,sample,0.0,0.0,12,42,0.0,0.0,0.0,20,12,8,8,0,0,0,0,,,
